"LOCATION","Country","SUBJECT","Subject","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2000-Q1","Q1-2000",118100,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2000-Q2","Q2-2000",115900,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2000-Q3","Q3-2000",114400,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2000-Q4","Q4-2000",114800,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2001-Q1","Q1-2001",99600,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2001-Q2","Q2-2001",94000,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2001-Q3","Q3-2001",90200,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2001-Q4","Q4-2001",88500,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2002-Q1","Q1-2002",90500,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2002-Q2","Q2-2002",96200,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2002-Q3","Q3-2002",103000,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2002-Q4","Q4-2002",97600,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2003-Q1","Q1-2003",109700,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2003-Q2","Q2-2003",104600,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2003-Q3","Q3-2003",104100,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2003-Q4","Q4-2003",107500,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2004-Q1","Q1-2004",103800,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2004-Q2","Q2-2004",127100,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2004-Q3","Q3-2004",124600,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2004-Q4","Q4-2004",139200,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2005-Q1","Q1-2005",146200,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2005-Q2","Q2-2005",140900,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2005-Q3","Q3-2005",139000,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2005-Q4","Q4-2005",134100,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2006-Q1","Q1-2006",144300,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2006-Q2","Q2-2006",154100,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2006-Q3","Q3-2006",154900,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2006-Q4","Q4-2006",162100,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2007-Q1","Q1-2007",160800,,
"AUS","Australia","LMJVTTUV_STSA","Job vacancies, Total, Unfilled vacancies (stock), sa","Q","Quarterly","2007-Q2","Q2-2007",168600,,
