"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2000-Q1","Q1-2000",,,"0","Units",,,8787.748,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2000-Q2","Q2-2000",,,"0","Units",,,8884.473,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2000-Q3","Q3-2000",,,"0","Units",,,8988.532,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2000-Q4","Q4-2000",,,"0","Units",,,8936.188,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2001-Q1","Q1-2001",,,"0","Units",,,8956.869,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2001-Q2","Q2-2001",,,"0","Units",,,9008.956,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2001-Q3","Q3-2001",,,"0","Units",,,9032.352,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2001-Q4","Q4-2001",,,"0","Units",,,9062.46,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2002-Q1","Q1-2002",,,"0","Units",,,9115.057,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2002-Q2","Q2-2002",,,"0","Units",,,9138.303,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2002-Q3","Q3-2002",,,"0","Units",,,9205.337,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2002-Q4","Q4-2002",,,"0","Units",,,9282.321,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2003-Q1","Q1-2003",,,"0","Units",,,9381.993,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2003-Q2","Q2-2003",,,"0","Units",,,9361.517,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2003-Q3","Q3-2003",,,"0","Units",,,9383.616,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2003-Q4","Q4-2003",,,"0","Units",,,9440.411,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2004-Q1","Q1-2004",,,"0","Units",,,9475.013,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2004-Q2","Q2-2004",,,"0","Units",,,9520.626,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2004-Q3","Q3-2004",,,"0","Units",,,9554.475,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2004-Q4","Q4-2004",,,"0","Units",,,9673.229,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2005-Q1","Q1-2005",,,"0","Units",,,9777.88,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2005-Q2","Q2-2005",,,"0","Units",,,9859.518,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2005-Q3","Q3-2005",,,"0","Units",,,9923.905,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2005-Q4","Q4-2005",,,"0","Units",,,9944.574,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2006-Q1","Q1-2006",,,"0","Units",,,9993.607,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2006-Q2","Q2-2006",,,"0","Units",,,10072.91,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2006-Q3","Q3-2006",,,"0","Units",,,10187.45,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2006-Q4","Q4-2006",,,"0","Units",,,10235.22,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2007-Q1","Q1-2007",,,"0","Units",,,10306.28,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2007-Q2","Q2-2007",,,"0","Units",,,10396.93,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2007-Q3","Q3-2007",,,"0","Units",,,10481.26,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2007-Q4","Q4-2007",,,"0","Units",,,10548.57,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2008-Q1","Q1-2008",,,"0","Units",,,10643.81,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2008-Q2","Q2-2008",,,"0","Units",,,10706.87,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2008-Q3","Q3-2008",,,"0","Units",,,10773.82,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2008-Q4","Q4-2008",,,"0","Units",,,10785.08,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2009-Q1","Q1-2009",,,"0","Units",,,10788.29,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2009-Q2","Q2-2009",,,"0","Units",,,10773.6,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2009-Q3","Q3-2009",,,"0","Units",,,10799.3,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2009-Q4","Q4-2009",,,"0","Units",,,10852.03,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2010-Q1","Q1-2010",,,"0","Units",,,10926.68,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2010-Q2","Q2-2010",,,"0","Units",,,10955.94,,
"AUS","Australia","LFEMTTTT","Employed population, Aged 15 and over, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2010-Q3","Q3-2010",,,"0","Units",,,11055.46,,
